,Genomic Instability,Telomere Attrition,Epigenetic Alterations,Loss of Proteostasis,Deregulated Nutrient Sensing,Mitochondrial Dysfunction,Cellular Senescence,Stem Cell Exhaustion,Altered Intercellular Communication
PC1,-0.38755853819229896,-0.28656413976636935,-0.12056335230703731,-0.00042175400262557813,0.4895355797367573,0.45545257375749715,-0.39508112235180837,-0.3244552184139694,-0.21142672658135706
PC2,0.09038141497775613,-0.3052182052587516,-0.5543907154239448,-0.10037856800658009,0.1423152064339268,-0.2422209725285903,0.08998777468505015,-0.2856935831117812,0.6423432759847942
PC3,-0.09710260222691883,-0.017691713709126856,0.15853032517862767,0.8037009912735592,-0.19330487036564692,-0.27450559587492623,-0.3301084865620984,-0.2856069893271398,0.12620570591257746
PC4,-0.4954205357258682,-0.4629685451184919,0.5078812363313728,-0.17009319488037525,-0.18608849962135318,0.016828790158239276,0.0512159590521532,0.22944784808897747,0.40393322037937596
PC5,-0.5589977551637997,0.5662185731698177,-0.3675851232905366,0.073599928271204,-0.2491705806861621,0.28755197844199104,0.03472911695222778,0.12306697551478106,0.2554575389400408
PC6,0.0126183570159487,-0.469456747951113,-0.39658636665630065,0.4412486494615355,-0.07964516410278547,0.19384943134442204,0.25872555521905233,0.5212876763840056,-0.21182377895163335
PC7,-0.04482616753031639,-0.07987487643767188,0.12214974820508127,0.10559585563083716,-0.21080098760154412,0.2895661841137965,0.6863259227007575,-0.5942643328617849,-0.11428286077499239
PC8,-0.39533782046895305,0.15701964798252685,0.05912950043235845,0.14072902940469217,0.5941301163212391,-0.4967094266672637,0.41214002561328483,0.09435802938890697,-0.13144653754681665
PC9,0.3403234724819524,0.1950428002713753,0.29021331916950516,0.28980083221592756,0.44972059509538354,0.45543698940614374,0.12316948662417608,0.17306202192713335,0.47237410632109533
