comparison,pearson_r,pvalue
ssgsea_vs_meanz,0.9555177353652298,1.325115351900397e-19
ssgsea_vs_pca,0.7826922910821199,1.700809701142388e-08
meanz_vs_pca,0.8493330022579277,5.820325153218307e-11
