group1,group2,hallmark1,hallmark2,r1,r2,z_stat,pvalue,pvalue_fdr,significant_fdr
Young,Middle,Deregulated Nutrient Sensing,Altered Intercellular Communication,0.07070199780386281,-0.2668394368150049,2.2018305766313957,0.027677278353880678,0.4811485060095207,False
Young,Middle,Mitochondrial Dysfunction,Cellular Senescence,-0.149551405369516,-0.4523013686255025,2.1546970179511296,0.031185551315431898,0.4811485060095207,False
Young,Middle,Mitochondrial Dysfunction,Stem Cell Exhaustion,-0.22476453138437377,-0.16028185396019762,-0.4284510622113978,0.6683227555317701,0.9161886112552673,False
Young,Middle,Mitochondrial Dysfunction,Altered Intercellular Communication,-0.3641006652314033,-0.42235660123421104,0.44098027391054667,0.659227277773256,0.9161886112552673,False
Young,Middle,Cellular Senescence,Stem Cell Exhaustion,0.2869205854714292,0.398158237967422,-0.807437952839628,0.4194142084346699,0.9161886112552673,False
Young,Middle,Cellular Senescence,Altered Intercellular Communication,0.07141732317041832,0.32808238901551123,-1.7212769699205253,0.08520057649505591,0.5704482447750936,False
Young,Middle,Stem Cell Exhaustion,Altered Intercellular Communication,-0.048681040866878335,-0.07627941641933561,0.1772086596117058,0.8593444939280115,0.9667625556690128,False
Young,Old,Genomic Instability,Telomere Attrition,0.18421556651922735,0.197127570083983,-0.09595008137485905,0.9235602188477567,0.9821831678293788,False
Young,Old,Genomic Instability,Epigenetic Alterations,0.053963524934704694,-0.08217574890235382,0.9765712314651793,0.3287814673213292,0.8663803911719024,False
Young,Old,Genomic Instability,Loss of Proteostasis,-0.009074193877898465,-0.18720664890474678,1.2915665524248863,0.19650729349461082,0.7318202654282059,False
Young,Old,Genomic Instability,Deregulated Nutrient Sensing,-0.42261709692534405,-0.21251442423082537,-1.6832931141271843,0.09231836276455006,0.5704482447750936,False
Young,Old,Genomic Instability,Mitochondrial Dysfunction,-0.4769614477900357,-0.4613609331106069,-0.1432491796376026,0.8860933905587973,0.9821831678293788,False
Young,Old,Genomic Instability,Cellular Senescence,0.22718063962279353,0.2707103702793213,-0.3323722708058967,0.7396081742103783,0.9161886112552673,False
Young,Old,Genomic Instability,Stem Cell Exhaustion,0.16838969165680703,0.10502094164423019,0.4625822124318483,0.6436638609680174,0.9161886112552673,False
Young,Old,Genomic Instability,Altered Intercellular Communication,-0.13229767403346956,-0.028037242789179462,-0.752120887949673,0.45197836359421517,0.9161886112552673,False
Young,Old,Telomere Attrition,Epigenetic Alterations,0.03015883825165869,0.08553765393827993,-0.39799133409681536,0.6906365736405828,0.9161886112552673,False
Young,Old,Telomere Attrition,Loss of Proteostasis,-0.07747932565306628,-0.04279278356573193,-0.2493101953490138,0.80312084552232,0.9227345884724527,False
Young,Old,Telomere Attrition,Deregulated Nutrient Sensing,-0.31951514327244157,-0.28129382733819114,-0.300900315953466,0.7634905093793893,0.9161886112552673,False
Young,Old,Telomere Attrition,Mitochondrial Dysfunction,0.06625098423162303,-0.2569758247940834,2.3574475703604656,0.01840105355886784,0.39746275687154536,False
Young,Old,Telomere Attrition,Cellular Senescence,0.3059947649577629,0.025229833886801254,2.0829695628970204,0.03725399802522689,0.5029289733405631,False
Young,Old,Telomere Attrition,Stem Cell Exhaustion,0.2083453923363246,0.07170393636277213,0.9997460960812741,0.31743339809243376,0.8663803911719024,False
Young,Old,Telomere Attrition,Altered Intercellular Communication,-0.42546689594486486,-0.09027036180383158,-2.605324618734447,0.009178725110377154,0.24782557798018315,False
Young,Old,Epigenetic Alterations,Loss of Proteostasis,0.12708816582934634,0.08506936620639854,0.3043597364781715,0.7608538392019614,0.9161886112552673,False
Young,Old,Epigenetic Alterations,Deregulated Nutrient Sensing,-0.3587619915048647,-0.3532570325193483,-0.04514141500962224,0.9639945906473533,0.9821831678293788,False
Young,Old,Epigenetic Alterations,Mitochondrial Dysfunction,-0.14115774375864687,-0.2300653166401429,0.6598800118982344,0.5093308320689325,0.9161886112552673,False
Young,Old,Epigenetic Alterations,Cellular Senescence,-0.052869248416146396,0.01215128887278796,-0.4659563964048316,0.6412467118603824,0.9161886112552673,False
Young,Old,Epigenetic Alterations,Stem Cell Exhaustion,0.1202002059942628,0.22031886927745783,-0.7390446503807517,0.4598798848700122,0.9161886112552673,False
Young,Old,Epigenetic Alterations,Altered Intercellular Communication,-0.37582887154299915,-0.11222240733877845,-2.022899228071993,0.04308353816315839,0.5170024579579007,False
Young,Old,Loss of Proteostasis,Deregulated Nutrient Sensing,-0.30796109895894214,-0.19983721984905037,-0.8287068117271605,0.4072703303615012,0.9161886112552673,False
Young,Old,Loss of Proteostasis,Mitochondrial Dysfunction,-0.24005550023427322,-0.20463539803876413,-0.2668628573666368,0.7895747553443017,0.9203331240365694,False
